USER,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3789,Primary degraded,high,Hutan Tanaman,CLEAR_TP,High,1994,1991,Cleared - Abandoned/transitional,Low,2013,2012,Cleared - Tree plantations,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1991,yes,high,Disagree - major,,,,not sure year of clearing but based on google earth 1994 cleared,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3794,Primary intact,high,Lahan Terbuka,CLEAR_AB,High,1994,1990,Cleared - Abandoned/transitional,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,2013,1990,yes,high,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3810,Non Forest,high,Sawah,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,No,high,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3811,Primary degraded,high,Perkebunan,CLEAR_RU,High,1996,1990,Cleared - Rubber,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,High,Agree,,No free of cloud emage during 1991-1995,,image 1991-1995 not available,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,wetland forest,Kalimantan,3812,Primary intact,high,Belukar Rawa,CLEAR_FI,High,1998,1997,Cleared - Fire,High,2003,2002,Cleared - Fire,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,Yes,high,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3813,Primary intact,high,Hutan Sekunder,DEG_SL,High,2000,1998,Degraded - Selective Logging,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1991,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,COMMISSION,YES,Edited entry,,Kalimantan,3814,Primary degraded,Low,Perkebunan,CLEAR_RU,High,1995,1992,Cleared - Rubber,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,yes,High,Disagree - minor,,,,"No clear image in 1997, land clearing might have taken place in 1997",,,NA,NA,NA,image 1990-1991 not available
Anna checked,Anna checked,AGREE_NON,COMMISSION,YES,No edits needed,,Kalimantan,3819,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1995,No,low,Agree,,No clear image until 1998,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,No edits needed,,Kalimantan,3820,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,2015,1990,no,High,Agree,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,COMMISSION,YES,No edits needed,,Kalimantan,3825,Primary intact,High,Belukar,CLEAR_AB,High,1994,1992,Degraded - Selective Logging,High,1995,1994,Degraded - Nearby clearing,High,1999,1998,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,High,Disagree - minor,,,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3826,Non Forest,high,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,No,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,No edits needed,,Kalimantan,3827,Primary degraded,High,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,No,High,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,No edits needed,,Kalimantan,3828,Primary degraded,High,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,1997,1994,Degraded - Nearby clearing,High,2002,2001,Cleared - Small-holder land use,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,2014,1991,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,No edits needed,forest in the edge,Kalimantan,3829,Non Forest,high,Hutan Sekunder,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,No,high,Disagree - major,,Jalan logging,,,,,NA,NA,NA,the lastland cover adalah sesuai dengan kelas hutan sekunder (KLHK)
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,No edits needed,,Kalimantan,3830,Non Forest,Low,Perkebunan,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,No,High,Disagree - major,,,rubber,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3834,Primary degraded,Low,Belukar,CLEAR_FI,High,1997,1996,Cleared - Fire,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1993,yes,High,Disagree - major,,image 1990-1993 not available,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3837,Non Forest,Low,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,Yes,High,Disagree - minor,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,No edits needed,,Kalimantan,3842,Primary degraded,Low,Belukar Rawa,CLEAR_AB,High,2007,2006,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1991,Yes,high,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3843,Primary intact,high,Belukar,CLEAR_AB,High,1999,1997,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2009,1990,yes,high,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3857,Primary degraded,High,Perkebunan,CLEAR_AB,High,1994,1991,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,yes,High,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_NON,COMMISSION,YES,No edits needed,in the edge,Kalimantan,3858,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1990,No,High,Agree,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,Edited entry,,Kalimantan,3864,Non Forest,Low,Pertanian Lahan Kering Campur Semak,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2013,1990,No,High,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3872,Primary degraded,high,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,2003,2002,Cleared - Small-holder land use,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1993,yes,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3874,Primary intact,high,Hutan Tanaman,NON,High,1993,1990,Degraded - Selective Logging,High,1995,1994,Cleared - Fire,High,2000,1999,Cleared - Tree plantations,High,2011,2010,Cleared - Tree plantations,High,2015,2014,Cleared - Tree plantations,High,NA,NA,,,Yes,2016,1990,No,high,Agree,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3878,Non Forest,Low,Perkebunan,NON,High,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,No,High,Disagree - major,,image 1990-1993 not available,rubber,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3882,Primary intact,high,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1990,no,high,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,wetland forest,Kalimantan,3893,Primary degraded,High,Rawa,CLEAR_AB,High,1997,1996,Degraded - Nearby clearing,High,2003,2002,Cleared - Abandoned/transitional,High,2016,2015,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1990,yes,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,COMMISSION,YES,Edited entry,,Kalimantan,3900,Primary degraded,Low,Hutan Sekunder,CLEAR_AB,High,1998,1995,Degraded - Fire,High,1999,1998,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,yes,High,Disagree - major,,No free cloud image during 1990-1993,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3901,Non Forest,high,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,no,high,Agree,,Sample complete!,rubber,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3906,Non Forest,Low,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2010,1990,yes,high,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,1990 still primary intact,Kalimantan,3909,Primary intact,high,Perkebunan,CLEAR_PE,High,1992,1991,Degraded - Nearby clearing,high,1995,1994,Cleared - Abandoned/transitional,high,2006,2005,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3910,Primary degraded,high,Perkebunan,CLEAR_TP,High,1994,1993,Cleared - Abandoned/transitional,High,1997,1996,Cleared - Rubber,High,2013,2012,Cleared - Rubber,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2009,1991,yes,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,No edits needed,,Kalimantan,3916,Primary degraded,high,Belukar,CLEAR_AB,High,1992,1991,Degraded - Nearby clearing,High,1993,1992,Degraded - Nearby clearing,High,2005,2003,Cleared - Abandoned/transitional,high,2012,2011,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3920,Primary intact,High,Belukar Rawa,NON,High,1997,1996,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,No,high,Disagree - major,,image 1988 look cleared,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3922,Primary degraded,Low,Belukar,CLEAR_AB,High,1997,1991,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,yes,high,Disagree - major,,image 1990 not available,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,pixel in the edge of river,Kalimantan,3925,Non Forest,Low,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,Yes,high,Agree,,image 1990-1993 not available,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,wetland forest,Kalimantan,3926,Primary degraded,High,Hutan Rawa Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2013,1992,no,High,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3927,Non Forest,high,Pertanian Lahan Kering Campur Semak,CLEAR_AB,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1991,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3928,Primary degraded,high,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,2000,1999,Cleared - Small-holder land use,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,High,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,Edited entry,,Kalimantan,3931,Primary degraded,high,Hutan Sekunder,DEG_FI,High,1999,1997,Degraded - Fire,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,Yes,high,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3932,Primary degraded,Low,Pertanian Lahan Kering Campur Semak,NON,High,2009,2008,Degraded - Nearby clearing,High,2016,2015,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,No,High,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,"Mangrove forest with small mangrove plantation, texture smooth",Kalimantan,3933,Primary degraded,High,Lahan Terbuka,CLEAR_OT,High,1997,1995,Degraded - Nearby clearing,High,2016,2015,Cleared - Other,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - major,,,,,posibillity for fish pond,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3938,Non Forest,high,Pemukiman,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2011,1993,no,high,Agree,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3942,Primary degraded,Low,Perkebunan,CLEAR_RU,High,1993,1990,Cleared - Rubber,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,yes,high,Disagree - major,,,rubber,land clearing might happen in between 1991-1993,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,,Kalimantan,3944,Primary intact,high,Belukar,DEG_NE,High,1995,1993,Degraded - Nearby clearing,high,2016,2015,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Agree,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,still intact in 1990,Kalimantan,3950,Primary intact,Low,Hutan Sekunder,DEG_NE,High,2014,2013,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,High,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3952,Non Forest,High,Lahan Terbuka,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1996,No,high,Agree,,No free cloud image during 1990-1995,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,wetland forest,Kalimantan,3960,Primary intact,Low,Belukar Rawa,CLEAR_AB,High,1995,1994,Degraded - Selective Logging,Low,1999,1997,Cleared - Abandoned/transitional,High,2007,2006,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1990,yes,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4699,Non Forest,high,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2017,1994,no,High,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4704,Non Forest,high,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2013,1990,No,High,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,No edits needed,"pixel in the edge, more 50% non forest",Kalimantan,4706,Non Forest,high,Hutan Tanaman,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,No,high,Disagree - minor,,,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4708,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,No,high,Agree,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4710,Primary degraded,High,Lahan Terbuka,CLEAR_AB,High,1999,1998,Cleared - Abandoned/transitional,high,2016,2015,Cleared - Abandoned/transitional,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,yes,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,4727,Primary degraded,high,Perkebunan,CLEAR_PE,High,2002,2001,Cleared - Abandoned/transitional,high,2006,2005,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,4735,Non Forest,Low,Belukar,CLEAR_FI,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1993,yes,high,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,4736,Primary intact,high,Hutan Sekunder,DEG_NE,High,1994,1991,Degraded - Selective Logging,high,2016,2015,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,Yes,high,Disagree - major,,Sample complete!,SPOT not available,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,No edits needed,wetland ,Kalimantan,4753,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,No,High,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,wetland forest,Kalimantan,4756,Primary intact,Low,Hutan Rawa Sekunder,DEG_SL,High,1993,1991,Degraded - Selective Logging,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2013,1990,Yes,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,mangrove forest,Kalimantan,4758,Primary intact,high,Tambak,CLEAR_OT,High,1998,1996,Cleared - Other,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4763,Non Forest,High,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,2015,1990,No,High,Disagree - major,,Sample complete!,rubber,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,Edited entry,rubber,Kalimantan,4766,Non Forest,High,Perkebunan,DEG_SL,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,2015,1990,Yes,High,Disagree - major,,Sample complete!,SPOT not available,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,No edits needed,,Kalimantan,4772,Primary intact,high,Perkebunan,CLEAR_PE,High,2003,2002,Degraded - Selective Logging,High,2006,2005,Cleared - Abandoned/transitional,high,2011,2010,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2011,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,4775,Primary intact,High,Lahan Terbuka,CLEAR_AB,High,1999,1998,Degraded - Selective Logging,High,2015,2014,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,Yes,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,,Kalimantan,4777,Non Forest,high,Perkebunan,CLEAR_PE,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,2014,1990,yes,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,Edited entry,,Kalimantan,4778,Primary intact,high,Hutan Primer,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,no,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,possibility clearing 1988 (fire)
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,small tree cause on the soil type,Kalimantan,4794,Primary intact,high,Hutan Sekunder,CLEAR_FI,High,1998,1996,Degraded - Fire,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2004,1990,Yes,High,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,No edits needed,"forest near river, tend to wetland forest",Kalimantan,4797,Primary degraded,high,Hutan Sekunder,DEG_NE,High,2000,1999,Degraded - Nearby clearing,High,2012,2011,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,since 1988 was degraded
Anna checked,Anna checked,AGREE_NON,COMMISSION,YES,Edited entry,,Kalimantan,4798,Primary degraded,Low,Hutan Sekunder,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,no,High,Disagree - major,,Sample complete!,rubber,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,Edited entry,"rubber in 1990, clearing for palm oil",Kalimantan,4801,Non Forest,high,Perkebunan,CLEAR_PE,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2013,1990,yes,high,Agree,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,still forest but degraded,Kalimantan,4814,Primary degraded,high,Perkebunan,CLEAR_RU,High,1997,1994,Cleared - Rubber,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1992,yes,high,Disagree - major,,Sample complete!,rubber,actually clearing in 1996,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,4815,Primary degraded,high,Lahan Terbuka,CLEAR_AB,High,2016,2015,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,Yes,High,Disagree - major,,,,,,,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4816,Non Forest,high,Lahan Terbuka,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,No,high,Agree,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,4819,Non Forest,high,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2012,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,forest in karst area,Kalimantan,4822,Primary intact,Low,Hutan Primer,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1991,no,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,4824,Non Forest,high,Pertanian Lahan Kering Campur Semak,CLEAR_AB,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,yes,high,Disagree - major,,,,,,,NA,NA,NA,
