USER,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,Link start,Link end,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,4135,Primary degraded,Low,Hutan Sekunder,DEG_FI,High,1997,1995,Degraded - Selective Logging,low,1999,1997,Degraded - Fire,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1994,yes,High,Disagree - major,,,,logging might take place in 1996,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,4142,Primary intact,high,Belukar,CLEAR_SH,High,1999,1992,Degraded - Nearby clearing,High,2014,2013,Cleared - Small-holder land use,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1990,yes,high,Disagree - major,,,,No cloud free image during from 1993 to 1998,Unsure about driver,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,,Kalimantan,4145,Primary degraded,high,Perkebunan,CLEAR_PE,High,1998,1997,Cleared - Fire,Low,2005,2004,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1995,yes,high,Disagree - major,,,Sawit,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5432,Non Forest,Low,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,no,Low,Disagree - major,,,Sawit,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5434,Primary intact,high,Belukar,CLEAR_AB,High,1994,1993,Degraded - Nearby clearing,high,1998,1994,Cleared - Fire,high,2006,2005,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1990,yes,high,Disagree - major,,,Bushes in the midst of a large scale palm plantation (small part of a planting block not yet planted),,"no data 1995,1996,1997",,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5435,Primary intact,high,Belukar,CLEAR_AB,High,1999,1997,Degraded - Selective Logging,high,2012,2011,Cleared - Abandoned/transitional,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5442,Primary intact,high,Perkebunan,CLEAR_PE,High,1992,1991,Cleared - Fire,high,2011,2010,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,,Kalimantan,5445,Primary degraded,low,Belukar Rawa,CLEAR_AB,High,1999,1995,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1995,no,low,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,,Kalimantan,5447,Primary degraded,high,Hutan Sekunder,DEG,High,1999,1996,Degraded - Selective Logging,Low,2002,2001,Degraded - Selective Logging,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,no,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5449,Non Forest,high,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,no,high,Agree,,Sample complete!,,palm,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Not sure about 1990 status of this pixel,Kalimantan,5455,Primary degraded,high,Perkebunan,CLEAR_PE,High,2001,2000,Cleared - Abandoned/transitional,high,2007,2006,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1992,yes,high,Disagree - major,,,,"1990 no data, first intrepretation use 1992 satellite data",,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,"Karst area, but pretty sure there is no tree cover in pixel in 1990",Kalimantan,5460,Non Forest,high,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2002,1993,No,High,Agree,,Sample complete!,,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5463,Primary intact,low,Hutan Sekunder,DEG_NE,High,2001,2000,Degraded - Selective Logging,high,2007,2006,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,COMMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,,Kalimantan,5469,Primary degraded,high,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,1997,1996,Degraded - Nearby clearing,High,1999,1997,Degraded - Fire,Low,2007,2006,Cleared - Abandoned/transitional,Low,2014,2013,Cleared - Small-holder land use,High,NA,NA,,,NA,NA,,,Yes,2015,1990,no,high,Disagree - major,,,Rubber,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Peatland forest,Kalimantan,5470,Primary intact,high,Belukar Rawa,CLEAR_AB,High,2007,2006,Degraded - Nearby clearing,high,2009,2008,Cleared - Abandoned/transitional,high,2013,2012,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5472,Non Forest,high,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1993,No,high,Agree,,Sample complete!,,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Low confidence about this pixel,Kalimantan,5489,Primary degraded,high,Tambak,CLEAR_OT,High,2015,2014,Cleared - Other,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1998,yes,High,Disagree - major,,,Spot tidak tersedia,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,"Non forest in first cloud free image (1993), likely forested in 1990",Kalimantan,5492,Non Forest,low,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1993,Yes,High,Disagree - major,,"Likely still intact in 1990, but no clear image",,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,COMMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,"Based on SPOT, I think this was cleared at some point between 1994-1999 (cleared by fire in 1997?)",Kalimantan,5493,Primary degraded,Low,Belukar Rawa,CLEAR_FI,High,1992,1990,Degraded - Fire,Low,1999,1994,Cleared - Fire,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,"Pretty sure this is located in a karst area, but still low confidence it was actually forested in 1990",Kalimantan,5504,Primary degraded,high,Hutan Tanaman,CLEAR_TP,High,1997,1996,Cleared - Tree plantations,High,2013,2012,Cleared - Tree plantations,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5510,Primary degraded,high,Hutan Sekunder,DEG_NE,High,2013,2012,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5515,Primary degraded,high,Hutan Tanaman,CLEAR_TP,High,2002,2001,Degraded - Selective Logging,Low,2012,2011,Cleared - Tree plantations,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1996,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,COMMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,,Kalimantan,5534,Primary degraded,low,Hutan Sekunder,DEG,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,2000,no,high,Disagree - major,,,Rubber,at 1990 until 1998 no data sattelite,,,NA,NA,NA,No image until 2000
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5535,Primary intact,high,Belukar Rawa,CLEAR_AB,High,1999,1998,Cleared - Fire,Low,2002,2001,Cleared - Abandoned/transitional,high,2007,2006,Cleared - Abandoned/transitional,high,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,"Low confidence, possible this is rubber",Kalimantan,5561,Primary degraded,high,Perkebunan,CLEAR_PE,High,2011,2010,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1992,yes,high,Agree,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5563,Primary degraded,high,Belukar,CLEAR_FI,High,1998,1997,Cleared - Fire,high,2007,2006,Cleared - Fire,high,2016,2015,Cleared - Fire,high,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Pixel located on a road in a forested area (so possibly forest at landscape scale),Kalimantan,5570,Non Forest,low,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,No,High,Disagree - minor,,,,Logging Road,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5571,Non Forest,high,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1994,No,High,Agree,,,Sawit,Road,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5581,Primary intact,high,Perkebunan,CLEAR_PE,High,1999,1996,Degraded - Nearby clearing,high,2011,2010,Cleared - Palm estates,low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1993,yes,high,Disagree - major,,,,,,,NA,NA,NA,"Definitely cleared for palm oil, but no clear high res data to indicate whether the pixel has been planted"
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,Forest located in karst area (though low confidence),Kalimantan,5589,Primary degraded,low,Hutan Sekunder,DEG_NE,Low,2010,2009,Degraded - Nearby clearing,High,2012,2011,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1991,no,high,Disagree - major,,,Rubber,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5591,Primary degraded,low,Belukar,CLEAR_SH,Low,1996,1993,Cleared - Small-holder land use,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,,Kalimantan,5595,Non Forest,low,Belukar Rawa,NON,Low,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1994,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5602,Primary degraded,high,Lahan Terbuka,CLEAR_RO,High,1993,1992,Cleared - Abandoned/transitional,high,2008,2007,Cleared - Roading,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,,Kalimantan,5614,Primary intact,high,Perkebunan,CLEAR_PE,High,1996,1993,Degraded - Selective Logging,High,1998,1996,Degraded - Fire,High,2001,2000,Cleared - Abandoned/transitional,Low,2006,2005,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,Yes,none,1992,yes,high,Disagree - major,,,Sawit,"this areal clearing for plantation plamno data in 1990, i use 1993",,Lebih dari tiga kali perubahan,NA,NA,NA,Pixel cleared again and planted with palm in 2006
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Karst?,Kalimantan,5615,Primary intact,high,Perkebunan,CLEAR_PE,High,1999,1998,Degraded - Fire,high,2010,2009,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1993,yes,high,Disagree - major,,,No data in SPOT,"this areal clearing for plantation plamno data in 1990, i use 1993","no high res image, so unclear if the area was planted with palm or abandoned",,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5631,Primary intact,high,Perkebunan,CLEAR_PE,High,1993,1990,Degraded - Selective Logging,low,1994,1993,Cleared - Abandoned/transitional,High,2013,2012,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,yes,high,Disagree - major,,,Sawit,"Forest appears less healthy in 1993, unsure if this is due to logging or another factor (possible it was a peat area that was drained)",,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Karst,Kalimantan,5641,Primary intact,high,Belukar,CLEAR_AB,High,1998,1997,Cleared - Fire,low,2011,2010,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - minor,,,,,,,NA,NA,NA,Large abandoned land area near a palm plantation
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,"Karst, fragment in 2001",Kalimantan,5648,Primary degraded,high,Hutan Sekunder,DEG_FI,High,1998,1997,Degraded - Fire,low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1991,Yes,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,"Shifting cultivation area, but pixel does have tree cover in 1990",Kalimantan,5651,Non Forest,high,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,No,high,Agree,,Sample complete!,,small plant and other tree platantions,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Peatland forest,Kalimantan,5654,Primary intact,high,Perkebunan,CLEAR_PE,High,1997,1995,Degraded - Selective Logging,low,1998,1997,Cleared - Fire,low,2003,2002,Cleared - Abandoned/transitional,High,2012,2011,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,Yes,2015,1990,Yes,high,Disagree - minor,,,Sawit,,possible the pixel was cleared by fire,,NA,NA,NA,Cleared again in 2012 then planted with oil palm
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,Shifting cultivation area,Kalimantan,5658,Non Forest,low,Belukar,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,no,high,Disagree - minor,,Sample complete!,,once on plataions,,,NA,NA,NA,possible rubber plantation? or regrown shifting cultivation area?
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,,Kalimantan,5665,Primary degraded,high,Belukar,CLEAR_AB,High,2001,2000,Degraded - Nearby clearing,high,2005,2003,Cleared - Roading,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,yes,high,Disagree - major,,Sample complete!,,"no data 1990, i use 1994","Land located near a road, use not clear",,NA,NA,NA,
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,,Kalimantan,5667,Primary degraded,low,Perkebunan,CLEAR_PE,Low,1993,1990,Degraded - Selective Logging,high,2002,2001,Cleared - Abandoned/transitional,high,2006,2005,Cleared - Abandoned/transitional,High,2010,2009,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,No,none,1990,Yes,high,,,,Sawit,,,,NA,NA,NA,Unsure about the initial land cover (intact or degraded)
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5670,Primary intact,high,Hutan Sekunder,DEG_FI,High,1999,1997,Degraded - Selective Logging,Low,2016,2015,Degraded - Fire,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5673,Primary intact,high,Lahan Terbuka,CLEAR_AB,High,1999,1998,Cleared - Fire,Low,2015,2014,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2010,1990,Yes,high,Disagree - major,,Sample complete!,,Unsure if the pixel was cleared or just degraded at this point,"Clearing pattern appears consistent with palm development, but unsure if planting has occurred",,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5679,Primary degraded,low,Hutan Rawa Sekunder,DEG_NE,Low,1998,1997,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - major,,Sample complete!,,,,,NA,NA,NA,Unsure about initial land cover (primary intact or primary degraded)
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,5680,Primary intact,high,Belukar,CLEAR_AB,High,1994,1990,Cleared - Abandoned/transitional,high,2003,2002,Cleared - Abandoned/transitional,high,2014,2013,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,Non primary forest in 1990,Kalimantan,5689,Non Forest,low,Tambak,NON,Low,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,yes,high,Disagree - major,,,Low confidence,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,"Non forest at first cloud free image (1998), but definitely forested in 1990",Kalimantan,5700,Non Forest,low,Belukar,NON,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1998,yes,high,Disagree - major,,No cloud-free image until 1998 (at which point nearby clearing had just occurred),,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,No edits needed,,Sulawesi,6724,Primary degraded,High,Hutan Sekunder,DEG,High,NA,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1994,No,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,No edits needed,No cloud free image until 1994,Sulawesi,6726,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2005,1994,No,High,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,No edits needed,,Sulawesi,6728,Non Forest,High,Lahan Terbuka,NON,High,NA,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,,Sample complete!,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,No edits needed,First cloud free image 1994,Sulawesi,6732,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1994,No,High,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,No edits needed,,Sulawesi,6734,Primary degraded,Low,Hutan Sekunder,DEG,Low,NA,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1990,No,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,"Based on GE data, I believe this area was already degraded in 1990, then began to regrow"
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,Edited entry,"Possible this was primary in 1994, but more likely a fallow shifting cultivation area",Sulawesi,6735,Non Forest,Low,Pertanian Lahan Kering Campur Semak,NON,Low,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2011,1994,Yes,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,"Unsure if the area was still degraded forest in 1990, plus no cloud-free scene until"
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,No edits needed,,Sulawesi,6741,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1991,No,High,Disagree - major,,Sample complete!,Coconut plantation (mixed),,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,Edited entry,No cloud free image until 1997,Sulawesi,6746,Non Forest,Low,Belukar,NON,Low,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013,1997,Yes,High,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,No edits needed,,Sulawesi,6747,Primary intact,High,Hutan Primer,PIN,High,NA,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1990,No,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Sulawesi_sample,.html,No edits needed,,Sulawesi,6751,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1991,No,High,Disagree - major,,,,,,,NA,NA,NA,
